Kanal,Cacahan
0,16172
1,3750
2,659
3,56
4,1731
5,992
6,106
7,124
8,298
9,130
10,672
11,215
12,19
13,267
14,133
15,180
16,376
17,104
18,179
19,39
20,233
21,615
22,88
23,151
24,126
25,65
26,205
27,12
28,37
29,165
30,37
31,53
32,153
33,95
34,51
35,20
36,19
37,131
38,18
39,38
40,57
41,24
42,178
43,66
44,7
45,52
46,119
47,155
48,84
49,21
50,232
51,87
52,91
53,231
54,143
55,111
56,235
57,86
58,8450
59,2868
60,100
61,676
62,2815
63,4484
64,4791
65,663
66,8060
67,1245
68,4099
69,14582
70,2363
71,4017
72,4204
73,3201
74,6477
75,1941
76,510
77,4652
78,1312
79,1745
80,5057
81,1329
82,1652
83,393
84,2740
85,4911
86,830
87,1385
88,1189
89,628
90,3462
91,427
92,630
93,2376
94,1155
95,1156
96,1770
97,1275
98,2006
99,481
100,595
101,3130
102,681
103,1062
104,1481
105,738
106,3608
107,1234
108,233
109,1673
110,1098
111,1332
112,1990
113,674
114,1481
115,383
116,1515
117,3314
118,773
119,1255
120,1284
121,583
122,3830
123,989
124,675
125,1493
126,1769
127,1074
128,1451
129,1784
130,1678
131,509
132,977
133,3639
134,901
135,1323
136,1705
137,864
138,4365
139,1478
140,318
141,1997
142,1472
143,1602
144,2405
145,858
146,1920
147,611
148,1833
149,4149
150,1013
151,1593
152,1620
153,946
154,3605
155,527
156,824
157,2882
158,1228
159,1299
160,1794
161,1536
162,1960
163,527
164,696
165,3307
166,620
167,1102
168,1282
169,700
170,2644
171,1082
172,260
173,1450
174,1570
175,1427
176,1419
177,559
178,2616
179,725
180,1068
181,2302
182,1364
183,1328
184,2504
185,1170
186,5158
187,1527
188,712
189,4455
190,816
191,2241
192,3459
193,822
194,1771
195,548
196,2173
197,4502
198,616
199,1234
200,1104
201,702
202,1270
203,429
204,306
205,1342
206,330
207,431
208,968
209,506
210,376
211,128
212,614
213,935
214,149
215,255
216,251
217,179
218,424
219,66
220,142
221,415
222,137
223,163
224,228
225,164
226,174
227,41
228,88
229,371
230,63
231,94
232,83
233,65
234,82
235,42
236,25
237,109
238,14
239,23
240,70
241,40
242,22
243,13
244,27
245,76
246,11
247,20
248,14
249,6
250,15
251,4
252,6
253,22
254,5
255,15
256,5
257,9
258,16
259,8
260,9
261,16
262,3
263,9
264,5
265,8
266,13
267,3
268,3
269,8
270,5
271,6
272,8
273,4
274,8
275,2
276,5
277,10
278,3
279,11
280,7
281,3
282,8
283,7
284,7
285,9
286,7
287,1
288,7
289,4
290,9
291,2
292,5
293,11
294,4
295,5
296,7
297,4
298,8
299,5
300,3
301,9
302,6
303,5
304,7
305,8
306,3
307,3
308,4
309,12
310,1
311,7
312,5
313,6
314,8
315,2
316,6
317,7
318,2
319,5
320,6
321,3
322,4
323,1
324,6
325,7
326,2
327,3
328,2
329,3
330,4
331,2
332,5
333,3
334,5
335,5
336,1
337,4
338,3
339,3
340,5
341,4
342,1
343,4
344,6
345,4
346,7
347,4
348,4
349,5
350,7
351,4
352,6
353,4
354,5
355,3
356,4
357,4
358,1
359,3
360,1
361,1
362,3
363,0
364,2
365,3
366,1
367,0
368,3
369,4
370,3
371,2
372,1
373,7
374,1
375,0
376,1
377,2
378,5
379,2
380,1
381,0
382,3
383,0
384,5
385,1
386,1
387,3
388,2
389,3
390,0
391,2
392,2
393,5
394,2
395,0
396,1
397,1
398,2
399,3
400,1
401,1
402,1
403,0
404,2
405,5
406,0
407,2
408,1
409,0
410,0
411,1
412,2
413,1
414,4
415,2
416,3
417,1
418,1
419,1
420,1
421,3
422,0
423,0
424,3
425,1
426,2
427,0
428,1
429,0
430,0
431,1
432,1
433,1
434,2
435,0
436,2
437,2
438,2
439,0
440,2
441,1
442,2
443,0
444,1
445,1
446,0
447,1
448,0
449,1
450,3
451,0
452,0
453,0
454,2
455,3
456,2
457,1
458,0
459,3
460,2
461,0
462,0
463,2
464,0
465,0
466,1
467,2
468,2
469,0
470,2
471,2
472,0
473,1
474,2
475,2
476,3
477,1
478,1
479,0
480,0
481,0
482,1
483,1
484,2
485,0
486,0
487,3
488,1
489,2
490,1
491,1
492,1
493,0
494,0
495,1
496,2
497,3
498,1
499,0
500,1
501,0
502,2
503,3
504,2
505,1
506,1
507,0
508,0
509,1
510,0
511,0
512,3
513,1
514,0
515,0
516,1
517,1
518,0
519,0
520,0
521,0
522,0
523,1
524,1
525,1
526,1
527,0
528,1
529,0
530,0
531,0
532,2
533,0
534,1
535,1
536,1
537,1
538,0
539,2
540,1
541,2
542,2
543,1
544,0
545,1
546,2
547,0
548,1
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,1
557,0
558,1
559,0
560,1
561,0
562,0
563,0
564,0
565,2
566,0
567,0
568,3
569,1
570,1
571,0
572,1
573,0
574,0
575,1
576,1
577,2
578,0
579,1
580,0
581,0
582,1
583,1
584,1
585,1
586,0
587,2
588,0
589,0
590,1
591,0
592,1
593,1
594,0
595,0
596,0
597,1
598,0
599,0
600,0
601,0
602,1
603,1
604,1
605,2
606,1
607,0
608,0
609,2
610,0
611,0
612,0
613,1
614,1
615,0
616,1
617,0
618,0
619,0
620,0
621,1
622,0
623,0
624,0
625,1
626,0
627,0
628,0
629,1
630,0
631,0
632,1
633,0
634,1
635,0
636,0
637,1
638,0
639,0
640,0
641,0
642,1
643,0
644,0
645,1
646,0
647,0
648,0
649,0
650,0
651,0
652,1
653,0
654,0
655,2
656,0
657,1
658,1
659,0
660,1
661,0
662,0
663,0
664,1
665,0
666,1
667,0
668,2
669,1
670,0
671,0
672,1
673,0
674,2
675,0
676,0
677,2
678,0
679,0
680,1
681,1
682,1
683,0
684,0
685,2
686,0
687,0
688,0
689,0
690,1
691,0
692,1
693,0
694,1
695,0
696,0
697,0
698,0
699,0
700,0
701,2
702,2
703,1
704,0
705,0
706,0
707,1
708,1
709,1
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,2
720,0
721,0
722,0
723,0
724,0
725,1
726,0
727,1
728,1
729,0
730,0
731,0
732,0
733,0
734,1
735,0
736,0
737,0
738,1
739,0
740,0
741,2
742,0
743,0
744,0
745,0
746,0
747,1
748,1
749,1
750,0
751,1
752,0
753,0
754,1
755,1
756,0
757,1
758,0
759,0
760,0
761,0
762,1
763,0
764,0
765,0
766,0
767,0
768,0
769,1
770,0
771,0
772,0
773,0
774,2
775,0
776,1
777,0
778,0
779,0
780,0
781,1
782,3
783,2
784,0
785,0
786,1
787,1
788,2
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,1
798,0
799,0
800,1
801,0
802,0
803,0
804,0
805,1
806,0
807,0
808,0
809,1
810,0
811,0
812,0
813,1
814,0
815,0
816,0
817,0
818,1
819,0
820,0
821,0
822,1
823,0
824,0
825,1
826,1
827,0
828,0
829,1
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,1
840,0
841,1
842,1
843,0
844,0
845,0
846,0
847,1
848,0
849,0
850,0
851,0
852,0
853,2
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,1
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,1
873,0
874,1
875,0
876,0
877,1
878,1
879,1
880,0
881,0
882,0
883,0
884,0
885,1
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,1
895,0
896,1
897,0
898,1
899,0
900,0
901,0
902,0
903,1
904,0
905,0
906,0
907,1
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,1
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,1
934,1
935,1
936,0
937,0
938,1
939,0
940,0
941,1
942,0
943,1
944,0
945,0
946,0
947,0
948,0
949,0
950,1
951,0
952,0
953,0
954,1
955,0
956,0
957,1
958,0
959,0
960,0
961,0
962,0
963,0
964,2
965,4
966,0
967,0
968,0
969,0
970,0
971,0
972,1
973,1
974,0
975,0
976,0
977,0
978,1
979,0
980,1
981,1
982,0
983,0
984,0
985,0
986,1
987,1
988,0
989,0
990,0
991,0
992,1
993,1
994,1
995,0
996,0
997,3
998,0
999,1
1000,1
1001,1
1002,0
1003,0
1004,0
1005,1
1006,0
1007,1
1008,1
1009,0
1010,0
1011,0
1012,0
1013,2
1014,2
1015,0
1016,1
1017,1
1018,0
1019,2
1020,0
1021,3
1022,1
1023,272
